run,agent_1,agent_2,agent_3,agent_4,agent_5,agent_6,agent_7,agent_8,map,seed,temperature,time_max,n_agents,run_elapsed_seconds,aggregate_welfare,ordinal_harm_blind,cardinal_harm,inequality,gini
1,42,57,49,81,89,98,53,44,yes_line_B,241235,0.0001,1000,8,1514.624856666,-1.765625,9.0,2.1875,0.4375,0.06970760233918138
2,40,48,74,61,87,110,55,45,yes_line_B,241236,0.0001,1000,8,1530.862078166,-1.875,9.0,2.25,0.65625,0.08346153846153848
3,40,57,50,87,93,103,62,46,yes_line_B,241237,0.0001,1000,8,1577.128688375,-2.15625,8.0,2.4375,0.546875,0.07901486988847584
4,41,62,76,89,70,95,58,45,yes_line_B,241238,0.0001,1000,8,1341.77554275,-2.125,10.0,2.453125,0.40625,0.04891791044776128
5,44,67,52,83,84,96,55,46,yes_line_B,241239,0.0001,1000,8,1482.631613625,-1.984375,9.0,2.34375,0.375,0.051309297912713436
6,49,55,57,100,71,84,65,43,yes_line_B,241240,0.0001,1000,8,1343.057750708,-1.9375,9.0,2.265625,0.453125,0.04528625954198473
7,39,45,61,79,75,88,66,49,yes_line_B,241241,0.0001,1000,8,1386.610633334,-1.59375,7.0,1.828125,0.328125,0.04340637450199214
8,41,47,69,81,82,108,61,51,yes_line_B,241242,0.0001,1000,8,1510.594694666,-2.1875,8.0,2.390625,0.609375,0.06675925925925918
9,43,81,52,75,92,94,62,47,yes_line_B,241243,0.0001,1000,8,1733.88009825,-2.28125,9.0,2.546875,0.359375,0.05113553113553104
10,41,50,67,91,99,87,56,46,yes_line_B,241244,0.0001,1000,8,1579.43207825,-2.140625,9.0,2.484375,0.46875,0.07027932960893857
11,41,49,72,83,81,104,64,41,yes_line_B,241245,0.0001,1000,8,1486.59310925,-2.109375,9.0,2.46875,0.546875,0.07140186915887847
12,52,59,82,95,67,95,61,53,yes_line_B,241246,0.0001,1000,8,1349.713087084,-2.5625,9.0,2.734375,0.234375,0.024875886524822644
13,58,51,77,114,64,89,60,50,yes_line_B,241247,0.0001,1000,8,1613.501350917,-2.546875,10.0,2.765625,0.5625,0.05019538188277095
14,42,66,71,80,93,65,74,56,yes_line_B,241248,0.0001,1000,8,1062.030132334,-2.296875,10.0,2.421875,0.359375,0.011316270566727571
15,48,73,62,115,55,79,66,43,yes_line_B,241249,0.0001,1000,8,1510.080014666,-2.203125,11.0,2.53125,0.6875,0.06066543438077643
16,37,42,92,52,77,81,69,49,yes_line_B,241250,0.0001,1000,8,1273.7762675,-1.546875,7.0,1.78125,0.421875,0.0655911823647295
17,43,47,59,77,86,93,55,44,yes_line_B,241251,0.0001,1000,8,1463.441561083,-1.625,9.0,2.015625,0.34375,0.05720238095238095
18,38,44,65,76,88,100,55,41,yes_line_B,241252,0.0001,1000,8,1261.014189209,-1.671875,9.0,2.109375,0.53125,0.08607495069033533
19,53,85,57,70,97,60,68,49,yes_line_B,241253,0.0001,1000,8,1206.701881834,-2.171875,11.0,2.40625,0.3125,0.02092764378478673
20,36,50,67,88,74,61,90,46,yes_line_B,241254,0.0001,1000,8,1226.750684125,-1.75,8.0,2.03125,0.40625,0.05759765625000002
21,42,48,63,75,102,90,58,47,yes_line_B,241255,0.0001,1000,8,1133.973347792,-1.953125,9.0,2.25,0.5,0.06666666666666665
22,47,63,54,84,93,85,58,43,yes_line_B,241256,0.0001,1000,8,1251.046911292,-1.984375,10.0,2.34375,0.34375,0.04561669829222015
23,38,47,71,59,100,90,56,47,yes_line_B,241257,0.0001,1000,8,1199.165419916,-1.6875,8.0,2.015625,0.53125,0.07314960629921252
24,43,67,50,105,77,70,69,43,yes_line_B,241258,0.0001,1000,8,1210.424612583,-1.9375,8.0,2.265625,0.53125,0.05387404580152677
25,39,50,63,74,71,85,108,50,yes_line_B,241259,0.0001,1000,8,1108.022189,-2.1875,5.0,2.40625,0.640625,0.06583333333333341
26,40,47,63,78,91,72,63,44,yes_line_B,241260,0.0001,1000,8,902.067927583,-1.53125,8.0,1.84375,0.359375,0.04610441767068285
27,37,52,42,87,70,96,53,44,yes_line_B,241261,0.0001,1000,8,925.117191083,-1.265625,8.0,1.71875,0.484375,0.08133056133056127
28,37,46,56,91,84,87,54,49,yes_line_B,241262,0.0001,1000,8,1090.409766042,-1.625,8.0,1.953125,0.40625,0.06613095238095235
29,45,55,88,69,75,65,87,46,yes_line_B,241263,0.0001,1000,8,1059.475801792,-2.03125,8.0,2.3125,0.234375,0.02943396226415107
30,44,58,71,81,101,60,64,44,yes_line_B,241264,0.0001,1000,8,1081.618943042,-1.921875,10.0,2.234375,0.453125,0.04485659655831742
31,42,56,83,62,93,59,87,49,yes_line_B,241265,0.0001,1000,8,1790.672537709,-2.046875,8.0,2.28125,0.359375,0.04354048964218449
32,41,54,63,89,93,98,59,49,yes_line_B,241266,0.0001,1000,8,2049.611052375,-2.28125,9.0,2.53125,0.453125,0.06166666666666676
33,41,48,65,77,90,100,56,45,yes_line_B,241267,0.0001,1000,8,1390.740394417,-1.90625,9.0,2.265625,0.484375,0.07076628352490433
34,39,91,51,41,80,92,60,49,yes_line_B,241268,0.0001,1000,8,1161.900400583,-1.609375,9.0,1.953125,0.390625,0.07467196819085498
35,56,63,51,83,104,69,72,61,yes_line_B,241269,0.0001,1000,8,974.805193125,-2.484375,9.0,2.53125,0.390625,0.016869409660107415
36,49,64,53,91,74,106,58,47,yes_line_B,241270,0.0001,1000,8,1113.443834958,-2.21875,10.0,2.515625,0.484375,0.05459409594095943
37,37,54,45,88,81,84,56,46,yes_line_B,241271,0.0001,1000,8,965.616698667,-1.421875,8.0,1.765625,0.359375,0.06276985743380847
38,40,47,79,57,89,100,54,44,yes_line_B,241272,0.0001,1000,8,1052.862645458,-1.71875,9.0,2.125,0.5,0.07735294117647062
39,51,77,44,85,67,89,79,48,yes_line_B,241273,0.0001,1000,8,1110.613682542,-2.1875,10.0,2.4375,0.265625,0.03249999999999997
40,39,43,70,80,67,103,57,43,yes_line_B,241274,0.0001,1000,8,958.023575042,-1.59375,8.0,1.96875,0.5625,0.07527888446215147
41,40,46,84,64,92,88,72,46,yes_line_B,241275,0.0001,1000,8,983.936048958,-2.0625,7.0,2.34375,0.375,0.058533834586466105
42,42,45,63,75,110,85,72,45,yes_line_B,241276,0.0001,1000,8,936.398459584,-2.140625,7.0,2.4375,0.625,0.0754003724394785
43,49,71,94,63,73,100,57,43,yes_line_B,241277,0.0001,1000,8,960.908379458,-2.34375,11.0,2.71875,0.453125,0.04954545454545456
44,52,67,57,78,104,84,55,44,yes_line_B,241278,0.0001,1000,8,935.502874666,-2.203125,11.0,2.59375,0.5,0.04726432532347502
45,57,44,79,62,92,89,58,46,yes_line_B,241279,0.0001,1000,8,918.83975225,-1.984375,10.0,2.296875,0.3125,0.0422960151802656
46,41,50,67,91,109,79,51,41,yes_line_B,241280,0.0001,1000,8,887.915771041,-2.015625,9.0,2.515625,0.625,0.09088846880907364
47,40,49,70,88,85,74,86,43,yes_line_B,241281,0.0001,1000,8,945.57463625,-2.109375,7.0,2.4375,0.3125,0.0499065420560747
48,43,56,70,63,74,92,64,42,yes_line_B,241282,0.0001,1000,8,726.81366025,-1.625,9.0,1.96875,0.34375,0.03091269841269839
49,48,40,55,87,97,55,63,61,yes_line_B,241283,0.0001,1000,8,741.126410958,-1.65625,7.0,1.71875,0.453125,0.049150197628458514
50,39,67,47,73,92,81,80,46,yes_line_B,241284,0.0001,1000,8,664.1453835,-1.953125,7.0,2.234375,0.390625,0.050000000000000044
